tweet_id,user_id,tweet_timestamp,tweet_text,retweets_count,likes_count,replies_count,hashtags,mentions,media_type,sentiment
1,1,2023-07-01 12:00:00,"Just had a great day!",100,150,10,"#happy","#life",text,positive
2,2,2023-07-02 13:00:00,"Check out this photo!",200,250,20,"#photo","#pic",image,neutral
3,3,2023-07-03 14:00:00,"Feeling down today.",50,60,5,"#sad","#mood",text,negative
4,4,2023-07-04 15:00:00,"Loving this weather!",130,180,15,"#weather","#sun",text,positive
5,5,2023-07-05 16:00:00,"Delicious meal!",170,200,18,"#food","#yummy",image,positive
6,6,2023-07-06 17:00:00,"Great workout!",110,160,12,"#fitness","#workout",text,neutral
7,7,2023-07-07 18:00:00,"Exciting news!",90,140,10,"#news","#excited",text,positive
8,8,2023-07-08 19:00:00,"Nice view!",140,190,13,"#view","#nature",image,positive
9,9,2023-07-09 20:00:00,"Feeling grateful.",120,170,11,"#grateful","#thankful",text,positive
10,10,2023-07-10 21:00:00,"Fun trip!",100,150,9,"#trip","#fun",text,positive
11,11,2023-07-11 22:00:00,"New blog post.",180,210,20,"#blog","#newpost",link,neutral
12,12,2023-07-12 23:00:00,"Check out my video!",160,200,17,"#video","#watch",video,neutral
13,13,2023-07-13 12:00:00,"Great time with friends.",150,190,16,"#friends","#fun",text,positive
14,14,2023-07-14 13:00:00,"Loving the new book.",110,160,12,"#book","#reading",text,neutral
15,15,2023-07-15 14:00:00,"Amazing concert!",200,250,22,"#concert","#music",image,positive
16,16,2023-07-16 15:00:00,"New recipe!",170,210,18,"#recipe","#cooking",image,positive
17,17,2023-07-17 16:00:00,"Motivational quote.",90,140,8,"#motivation","#quote",text,neutral
18,18,2023-07-18 17:00:00,"Great hike!",130,180,14,"#hike","#nature",image,positive
19,19,2023-07-19 18:00:00,"Feeling inspired.",120,170,13,"#inspired","#happy",text,positive
20,20,2023-07-20 19:00:00,"Weekend vibes.",100,150,9,"#weekend","#vibes",text,positive
21,21,2023-07-21 20:00:00,"Check out my article.",180,210,20,"#article","#read",link,neutral
22,22,2023-07-22 21:00:00,"New project!",160,200,17,"#project","#new",text,neutral
23,23,2023-07-23 22:00:00,"Happy to share this.",150,190,15,"#share","#happy",text,positive
24,24,2023-07-24 23:00:00,"Great workout!",110,160,12,"#fitness","#workout",text,neutral
25,25,2023-07-25 12:00:00,"Exciting day!",90,140,10,"#exciting","#day",text,positive
26,26,2023-07-26 13:00:00,"Lovely view!",140,190,13,"#view","#nature",image,positive
27,27,2023-07-27 14:00:00,"Feeling happy.",120,170,11,"#happy","#thankful",text,positive
28,28,2023-07-28 15:00:00,"Great movie!",100,150,9,"#movie","#fun",text,positive
29,29,2023-07-29 16:00:00,"New blog post.",180,210,20,"#blog","#newpost",link,neutral
30,30,2023-07-30 17:00:00,"Check out my video!",160,200,17,"#video","#watch",video,neutral
31,31,2023-07-31 18:00:00,"Wonderful time.",150,190,16,"#wonderful","#fun",text,positive
32,32,2023-08-01 19:00:00,"Great book.",110,160,12,"#book","#reading",text,neutral
33,33,2023-08-02 20:00:00,"Awesome concert!",200,250,22,"#concert","#music",image,positive
34,34,2023-08-03 21:00:00,"New recipe!",170,210,18,"#recipe","#cooking",image,positive
35,35,2023-08-04 22:00:00,"Motivational post.",90,140,8,"#motivation","#post",text,neutral
36,36,2023-08-05 23:00:00,"Great adventure!",130,180,14,"#adventure","#nature",image,positive
37,37,2023-08-06 12:00:00,"Feeling motivated.",120,170,13,"#motivated","#happy",text,positive
38,38,2023-08-07 13:00:00,"Weekend vibes.",100,150,9,"#weekend","#vibes",text,positive
39,39,2023-08-08 14:00:00,"Check out my article.",180,210,20,"#article","#read",link,neutral
40,40,2023-08-09 15:00:00,"New idea!",160,200,17,"#idea","#new",text,neutral
41,41,2023-08-10 16:00:00,"Happy to share.",150,190,15,"#share","#happy",text,positive
42,42,2023-08-11 17:00:00,"Great workout!",110,160,12,"#fitness","#workout",text,neutral
43,43,2023-08-12 18:00:00,"Exciting news!",90,140,10,"#news","#excited",text,positive
44,44,2023-08-13 19:00:00,"Nice view!",140,190,13,"#view","#nature",image,positive
45,45,2023-08-14 20:00:00,"Feeling grateful.",120,170,11,"#grateful","#thankful",text,positive
46,46,2023-08-15 21:00:00,"Fun trip!",100,150,9,"#trip","#fun",text,positive
47,47,2023-08-16 22:00:00,"New blog post.",180,210,20,"#blog","#newpost",link,neutral
48,48,2023-08-17 23:00:00,"Check out my video!",160,200,17,"#video","#watch",video,neutral
49,49,2023-08-18 12:00:00,"Great time with friends.",150,190,16,"#friends","#fun",text,positive
50,50,2023-08-19 13:00:00,"Loving the new book.",110,160,12,"#book","#reading",text,neutral
